Shimadzu measurement
Filename
739Labor_aprilis_14_Al.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:24
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.049972      0.003114      0.001154
      0.099974      0.018124      0.001277
      0.149977      0.023699      0.003035
      0.199979      0.012236      0.005838
      0.249980      0.113615      0.009399
      0.299983      0.284814      0.013885
      0.349985      0.542654      0.019327
      0.399988      0.864434      0.026910
      0.449990      1.253524      0.037885
      0.499992      1.700142      0.053256
      0.549994      2.197315      0.071789
      0.599996      2.730220      0.093047
      0.649998      3.313597      0.117673
      0.700001      3.932021      0.144963
      0.749973      4.584430      0.175749
      0.799975      5.275969      0.209622
      0.849976      5.987467      0.246272
      0.899979      6.719370      0.284994
      0.949981      7.465974      0.324422
      0.999984      8.238017      0.364973
      1.049986      9.036006      0.405070
      1.099988      9.839647      0.445369
      1.149990     10.668517      0.486276
      1.199992     11.503002      0.527610
      1.249994     12.355968      0.570059
      1.299997     13.216413      0.613208
      1.349999     14.097016      0.656253
      1.400000     14.976230      0.699021
      1.449972     15.864570      0.741359
      1.499975     16.759293      0.783796
      1.549977     17.662811      0.825895
      1.599979     18.568142      0.867203
      1.649982     19.474494      0.908531
      1.699983     20.392751      0.949693
      1.749986     21.314399      0.991316
      1.799988     22.237878      1.034026
      1.849990     23.167277      1.078203
      1.899993     24.101393      1.123944
      1.949995     25.026939      1.170298
      1.999996     25.961249      1.216534
      2.049999     26.894293      1.261320
      2.099971     27.832911      1.304191
      2.149973     28.775326      1.344789
      2.199975     29.713832      1.383280
      2.249978     30.663469      1.420303
      2.299979     31.598711      1.456492
      2.349981     32.539917      1.492236
      2.399984     33.485270      1.527336
      2.449986     34.436188      1.561916
      2.499989     35.386619      1.595663
      2.549991     36.336614      1.628598
      2.599992     37.291708      1.661414
      2.649995     38.241015      1.694122
      2.699997     39.200375      1.726917
      2.749999     40.147417      1.759605
      2.799971     41.098634      1.791833
      2.849973     42.045673      1.823768
      2.899975     43.000548      1.855683
      2.949977     43.949049      1.887580
      2.999980     44.900968      1.919644
      3.049982     45.850470      1.951493
      3.099984     46.800238      1.982782
      3.149986     47.761842      2.013749
      3.199988     48.710295      2.044794
      3.249991     49.664612      2.075542
      3.299993     50.611389      2.105717
      3.349995     51.567250      2.135438
      3.399998     52.523352      2.165056
      3.449999     53.469904      2.194764
      3.499971     54.427394      2.224370
      3.549973     55.394727      2.253701
      3.599976     56.348946      2.282907
      3.649978     57.309063      2.312060
      3.699979     58.258619      2.340618
      3.749982     59.215760      2.368944
      3.799983     60.166910      2.397001
      3.849986     61.118161      2.424694
      3.899988     62.079879      2.452304
      3.949990     63.031487      2.479654
      3.999993     63.981319      2.506773
      4.049995     64.942981      2.533926
      4.099996     65.898810      2.560744
      4.149999     66.860987      2.587261
      4.199971     67.811175      2.613750
      4.249973     68.771937      2.640643
      4.299975     69.724515      2.667715
      4.349978     70.678273      2.694277
      4.399979     71.636753      2.720929
      4.449981     72.578733      2.747419
      4.499984     73.535159      2.773518
      4.549986     74.489937      2.799815
      4.599989     75.442013      2.826106
      4.649991     76.398370      2.852393
      4.699992     77.356749      2.878432
