Shimadzu measurement
Filename
742Labor_aprilis_14_Cu.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:41
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050003     -0.009186     -0.002142
      0.100005     -0.008299     -0.007060
      0.150007     -0.009331     -0.003064
      0.200010     -0.010260     -0.001054
      0.250011     -0.011096      0.004967
      0.300014      0.082147      0.015451
      0.349985      0.265555      0.028732
      0.399988      0.520955      0.042333
      0.449990      0.844811      0.056100
      0.499993      1.229056      0.069772
      0.549994      1.674975      0.083602
      0.599996      2.174571      0.097881
      0.649999      2.710879      0.113295
      0.700001      3.296096      0.129671
      0.750003      3.925333      0.147399
      0.800005      4.580148      0.165979
      0.850007      5.261645      0.185204
      0.900010      5.971431      0.203971
      0.950012      6.712778      0.222632
      1.000014      7.472765      0.241074
      1.049986      8.250750      0.259198
      1.099987      9.044321      0.277280
      1.149990      9.857413      0.295323
      1.199992     10.690516      0.313882
      1.249995     11.528811      0.332538
      1.299997     12.380935      0.351098
      1.349999     13.237569      0.369389
      1.400001     14.106197      0.387500
      1.450003     14.984400      0.405874
      1.500005     15.880374      0.423998
      1.550008     16.770981      0.442018
      1.600010     17.669575      0.459884
      1.650013     18.577798      0.477795
      1.700014     19.481260      0.495502
      1.749986     20.394475      0.513086
      1.799988     21.315857      0.530254
      1.850021     22.232993      0.547110
      1.899992     23.169501      0.563561
      1.949994     24.095367      0.579710
      1.999997     25.022032      0.594916
      2.049998     25.957350      0.610066
      2.100000     26.894963      0.625044
      2.150003     27.828538      0.639928
      2.200005     28.776179      0.654910
      2.250007     29.716337      0.669737
      2.300010     30.661358      0.684363
      2.350011     31.613197      0.698808
      2.400014     32.553471      0.713335
      2.449985     33.499207      0.727874
      2.499988     34.444365      0.742179
      2.549990     35.393275      0.756153
      2.599993     36.338238      0.769767
      2.649994     37.285752      0.783667
      2.699996     38.232510      0.797032
      2.749999     39.176757      0.810465
      2.800001     40.116912      0.823897
      2.850003     41.066813      0.837023
      2.900006     42.016331      0.849996
      2.950007     42.965502      0.862771
      3.000010     43.917414      0.875184
      3.050012     44.864468      0.887576
      3.100014     45.819357      0.900072
      3.149986     46.772143      0.913027
      3.199987     47.730360      0.925724
      3.249990     48.683088      0.938372
      3.299992     49.640643      0.951160
      3.349995     50.598879      0.963645
      3.399997     51.553456      0.975919
      3.449999     52.509013      0.987942
      3.500001     53.463619      1.000167
      3.550003     54.408216      1.012024
      3.600005     55.362725      1.023611
      3.650008     56.313947      1.034955
      3.700010     57.268925      1.045835
      3.750013     58.224233      1.056482
      3.800014     59.176784      1.067041
      3.849986     60.127466      1.078009
      3.899988     61.082568      1.088613
      3.949990     62.038597      1.099560
      3.999993     62.992408      1.110206
      4.049995     63.950937      1.120947
      4.099997     64.912492      1.131651
      4.149999     65.871887      1.142323
      4.200001     66.831169      1.152782
      4.250004     67.780584      1.163293
      4.300006     68.728443      1.173852
      4.350008     69.679173      1.184515
      4.400010     70.634930      1.194722
      4.450012     71.589717      1.205007
      4.500015     72.532644      1.215301
      4.549986     73.488092      1.225482
      4.599989     74.444432      1.235987
      4.649990     75.406458      1.245929
