Shimadzu measurement
Filename
749Labor_aprilis_14_Acel.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:18
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050003     -0.001659      0.001236
      0.100005      0.002951      0.006925
      0.150007     -0.008769      0.012595
      0.200009     -0.009551      0.019652
      0.250011      0.083740      0.028383
      0.300014      0.267802      0.037644
      0.350016      0.526843      0.047201
      0.399988      0.837495      0.057022
      0.449990      1.222064      0.068059
      0.499992      1.660951      0.079884
      0.549994      2.157880      0.091564
      0.599996      2.689956      0.103113
      0.649999      3.266482      0.114546
      0.700001      3.890948      0.126239
      0.750002      4.531704      0.137800
      0.800005      5.212756      0.149548
      0.850007      5.923361      0.161281
      0.900010      6.650186      0.173000
      0.950012      7.403818      0.184646
      1.000014      8.179745      0.196104
      1.050016      8.966581      0.207759
      1.100018      9.777274      0.219774
      1.149990     10.599063      0.234189
      1.199992     11.439992      0.249726
      1.249995     12.288993      0.264930
      1.299997     13.147700      0.279895
      1.349998     14.020635      0.294707
      1.400001     14.900272      0.309258
      1.450003     15.789604      0.324246
      1.500005     16.687049      0.339445
      1.550008     17.580811      0.354954
      1.600010     18.484076      0.370988
      1.650012     19.394671      0.387189
      1.700014     20.297216      0.403295
      1.750016     21.216930      0.419683
      1.799988     22.141110      0.436568
      1.849990     23.068088      0.454023
      1.899993     24.005519      0.471625
      1.949994     24.934658      0.489725
      1.999997     25.867319      0.507724
      2.049999     26.804983      0.525754
      2.100001     27.744097      0.543446
      2.150004     28.682684      0.561078
      2.200006     29.615915      0.578839
      2.250007     30.560805      0.596471
      2.300010     31.500929      0.614477
      2.350012     32.444088      0.632757
      2.400015     33.402186      0.651041
      2.450017     34.345652      0.669327
      2.499988     35.297312      0.687432
      2.549990     36.242308      0.705741
      2.599993     37.194735      0.723928
      2.649995     38.140422      0.742555
      2.699997     39.086146      0.761273
      2.750000     40.030682      0.780010
      2.800001     40.983916      0.799071
      2.850003     41.933381      0.817874
      2.900006     42.889830      0.836567
      2.950008     43.844629      0.855222
      3.000041     44.794282      0.873964
      3.050012     45.744796      0.892663
      3.100014     46.696085      0.911080
      3.150016     47.653565      0.929302
      3.200018     48.609293      0.947411
      3.249990     49.556120      0.965480
      3.299992     50.517518      0.983572
      3.349995     51.470058      1.001626
      3.399997     52.418288      1.019461
      3.449998     53.371794      1.037160
      3.500001     54.328217      1.054921
      3.550003     55.282384      1.072370
      3.600005     56.236350      1.089967
      3.650008     57.188304      1.107513
      3.700010     58.143332      1.125196
      3.750012     59.096852      1.142882
      3.800014     60.049626      1.160324
      3.850016     61.013325      1.177548
      3.899988     61.960002      1.194881
      3.949990     62.922486      1.212251
      3.999993     63.868068      1.229471
      4.049994     64.828347      1.246860
      4.099997     65.790256      1.264098
      4.149999     66.740814      1.281199
      4.200001     67.695195      1.298421
      4.250004     68.649354      1.315568
      4.300006     69.606975      1.332527
      4.350007     70.562830      1.349316
      4.400010     71.512213      1.366135
      4.450012     72.464925      1.382798
      4.500015     73.419413      1.399382
      4.550017     74.370006      1.415589
      4.599988     75.327471      1.431762
      4.649990     76.280132      1.448088
