Shimadzu measurement
Filename
758Labor_aprilis_14_45Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 11:10
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050003      0.005981      0.002965
      0.100005      0.000988      0.006183
      0.149976     -0.008389      0.009323
      0.199978     -0.010114      0.012821
      0.249981      0.079887      0.016640
      0.299983      0.259767      0.020444
      0.349985      0.519927      0.024356
      0.399988      0.829145      0.028303
      0.449989      1.209372      0.033138
      0.499991      1.660831      0.040358
      0.549994      2.161749      0.049480
      0.599996      2.698637      0.060071
      0.649999      3.275832      0.073264
      0.700000      3.900289      0.089045
      0.750002      4.547751      0.106177
      0.800005      5.226293      0.124404
      0.849976      5.927925      0.143311
      0.899979      6.665597      0.162158
      0.949981      7.420445      0.182538
      0.999983      8.197466      0.204359
      1.049985      8.993833      0.226257
      1.099987      9.797844      0.248162
      1.149990     10.623384      0.270440
      1.199992     11.469522      0.292749
      1.249994     12.321379      0.315268
      1.299996     13.176553      0.338404
      1.349998     14.046308      0.361851
      1.400001     14.923694      0.386005
      1.450002     15.810389      0.409452
      1.500004     16.696916      0.432081
      1.549976     17.600994      0.454522
      1.599979     18.509269      0.476001
      1.649980     19.421324      0.497834
      1.699982     20.341661      0.519254
      1.749985     21.256636      0.540852
      1.799987     22.174109      0.563830
      1.849989     23.101155      0.586585
      1.899992     24.023998      0.609018
      1.949993     24.950994      0.630428
      1.999996     25.885390      0.651223
      2.049998     26.825225      0.671038
      2.100000     27.763851      0.691312
      2.150003     28.700168      0.711390
      2.200005     29.649667      0.731596
      2.249976     30.582342      0.751064
      2.299978     31.528563      0.770294
      2.349981     32.464392      0.789065
      2.399983     33.411009      0.808035
      2.449985     34.357571      0.827916
      2.499988     35.298589      0.846601
      2.549989     36.250487      0.865006
      2.599991     37.209126      0.882912
      2.649994     38.151858      0.900493
      2.699996     39.105299      0.917536
      2.749999     40.047016      0.934890
      2.800000     41.002595      0.952522
      2.850002     41.955390      0.970039
      2.900005     42.897746      0.987696
      2.949976     43.855732      1.005236
      2.999979     44.816187      1.022791
      3.049981     45.759944      1.040056
      3.099983     46.725293      1.057243
      3.149985     47.676506      1.074725
      3.199987     48.627814      1.092412
      3.249990     49.586532      1.110222
      3.299992     50.534219      1.128327
      3.349994     51.493950      1.146147
      3.399996     52.434613      1.162978
      3.449998     53.388023      1.179530
      3.500001     54.341919      1.196441
      3.550003     55.299303      1.213004
      3.599975     56.262269      1.229376
      3.649977     57.220493      1.245880
      3.699979     58.171396      1.262382
      3.749981     59.137075      1.278393
      3.799983     60.092856      1.294451
      3.849986     61.049497      1.310857
      3.899988     62.006300      1.326537
      3.949990     62.964470      1.341809
      3.999992     63.925701      1.357202
      4.049994     64.876871      1.372643
      4.099997     65.834853      1.388004
      4.149999     66.796526      1.403050
      4.200001     67.753586      1.417263
      4.250004     68.710157      1.431275
      4.300005     69.666897      1.445412
      4.349977     70.625620      1.459844
      4.399979     71.581857      1.473505
      4.449982     72.535855      1.487142
      4.499984     73.486618      1.501002
      4.549985     74.438741      1.515369
      4.599988     75.382934      1.529641
      4.649990     76.341352      1.543219
