Shimadzu measurement
Filename
737Labor_aprilis_7_145Mg_2mN.dat
Identifier
2mN/s meres
Date 2016:4:7
Time 11:27
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050002      0.011232     -0.000183
      0.100004      0.007912     -0.000226
      0.150006     -0.007283     -0.000204
      0.200009     -0.005089     -0.000123
      0.250011      0.004210      0.000316
      0.300013      0.017462      0.000590
      0.350016      0.039155      0.000836
      0.399987      0.074547      0.000996
      0.449989      0.121049      0.001201
      0.499991      0.170226      0.001752
      0.549994      0.222419      0.002004
      0.599996      0.273055      0.002780
      0.649998      0.324731      0.003539
      0.700000      0.392602      0.004284
      0.750002      0.440258      0.004526
      0.800004      0.501459      0.004989
      0.850007      0.558982      0.005650
      0.900009      0.620518      0.006183
      0.950012      0.698484      0.006968
      1.000013      0.775978      0.007004
      1.050015      0.849384      0.007463
      1.099987      0.948409      0.007510
      1.149990      1.024104      0.007857
      1.199992      1.096502      0.007987
      1.249994      1.183023      0.007737
      1.299996      1.260281      0.007695
      1.349998      1.354838      0.007902
      1.399999      1.439940      0.008455
      1.450002      1.526907      0.008402
      1.500004      1.610671      0.009210
      1.550007      1.695214      0.009631
      1.600009      1.785951      0.010499
      1.650010      1.869446      0.011036
      1.700013      1.962902      0.011885
      1.750015      2.056168      0.012100
      1.799987      2.153535      0.012599
      1.849989      2.246049      0.012987
      1.899992      2.328090      0.013336
      1.949993      2.433666      0.013711
      1.999995      2.536619      0.014110
      2.049998      2.626225      0.014590
      2.100000      2.723350      0.015084
      2.150002      2.817477      0.015407
      2.200004      2.912567      0.016002
      2.250006      3.011576      0.016355
      2.300009      3.106177      0.017282
      2.350011      3.203525      0.017629
      2.400013      3.295411      0.018185
      2.450016      3.387875      0.018381
      2.499987      3.474754      0.018496
      2.549989      3.571256      0.018965
      2.599991      3.661770      0.019082
      2.649994      3.752998      0.019676
      2.699996      3.850363      0.019967
      2.749998      3.948367      0.020350
      2.800000      4.044505      0.021428
      2.850002      4.140796      0.022031
      2.900004      4.245768      0.023124
      2.950007      4.335360      0.023680
      3.000009      4.444070      0.024913
      3.050012      4.542518      0.025900
      3.100013      4.626850      0.027033
      3.150015      4.722280      0.027992
      3.199987      4.814881      0.029038
      3.249990      4.902494      0.030162
      3.299992      5.007591      0.031418
      3.349994      5.095465      0.032365
      3.399996      5.183707      0.033218
      3.449998      5.280825      0.033619
      3.500000      5.376166      0.034468
      3.550003      5.466246      0.035172
      3.600005      5.568680      0.035805
      3.650007      5.659650      0.036558
      3.700009      5.757392      0.036869
      3.750011      5.854515      0.038126
      3.800014      5.947420      0.039135
      3.850016      6.042020      0.040470
      3.899988      6.131433      0.041306
      3.949989      6.222281      0.042424
      3.999992      6.325407      0.043736
      4.049994      6.417609      0.044794
      4.099996      6.517682      0.046174
      4.149999      6.621175      0.046927
      4.200001      6.716761      0.048277
      4.250002      6.814384      0.049064
      4.300005      6.906518      0.049956
      4.350007      6.993711      0.050636
      4.400010      7.085002      0.051188
      4.450012      7.179372      0.051989
      4.500014      7.280784      0.052344
      4.550016      7.369613      0.053091
      4.599988      7.465429      0.053946
      4.649990      7.564481      0.054350
