Shimadzu measurement
Filename
741Labor_aprilis_14_Cu.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:39
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050002      0.001021     -0.005877
      0.100005      0.001329     -0.007686
      0.150006     -0.016704     -0.004188
      0.200008     -0.016454      0.001157
      0.250011      0.072273      0.009081
      0.300013      0.253447      0.022133
      0.350015      0.517824      0.036627
      0.400018      0.835720      0.050770
      0.450019      1.233523      0.064414
      0.500022      1.675775      0.077670
      0.549993      2.171460      0.091370
      0.599996      2.711572      0.106142
      0.649998      3.298993      0.121635
      0.700000      3.914343      0.137958
      0.750002      4.571919      0.154114
      0.800004      5.245526      0.170546
      0.850007      5.960416      0.187410
      0.900008      6.702696      0.204175
      0.950010      7.462912      0.221461
      1.000013      8.247206      0.238727
      1.050015      9.047677      0.256220
      1.100016      9.861485      0.273794
      1.150019     10.685467      0.291748
      1.200021     11.525930      0.309492
      1.249993     12.379393      0.327233
      1.299995     13.238454      0.344908
      1.349998     14.109266      0.362403
      1.399999     14.993096      0.380346
      1.450002     15.888643      0.398325
      1.500004     16.778865      0.416094
      1.550006     17.686877      0.433672
      1.600009     18.584656      0.450958
      1.650011     19.504964      0.468346
      1.700012     20.424184      0.485887
      1.750015     21.339985      0.502712
      1.800017     22.253319      0.519014
      1.850019     23.177249      0.534968
      1.900022     24.111327      0.550974
      1.949994     25.045382      0.566722
      1.999995     25.980638      0.582605
      2.049997     26.924909      0.597937
      2.100000     27.871800      0.613200
      2.150002     28.811284      0.628281
      2.200005     29.757528      0.643073
      2.250007     30.708027      0.657546
      2.300008     31.650147      0.671915
      2.350011     32.595713      0.686007
      2.400013     33.528511      0.700520
      2.450015     34.480945      0.715291
      2.500018     35.432132      0.729867
      2.550019     36.381585      0.744206
      2.600022     37.329479      0.758026
      2.649993     38.269864      0.771441
      2.699996     39.226076      0.784858
      2.749998     40.184324      0.798092
      2.800000     41.135861      0.810979
      2.850002     42.081966      0.823677
      2.900004     43.026847      0.836142
      2.950007     43.976117      0.848399
      3.000009     44.927509      0.860772
      3.050011     45.882029      0.872763
      3.100014     46.838754      0.884775
      3.150015     47.790751      0.896319
      3.200017     48.740323      0.907868
      3.250020     49.693817      0.919177
      3.299992     50.639243      0.930759
      3.349994     51.590835      0.942282
      3.399996     52.544316      0.953812
      3.449998     53.490341      0.965288
      3.500000     54.447966      0.976654
      3.550003     55.400161      0.988226
      3.600005     56.348692      0.999862
      3.650007     57.305520      1.011310
      3.700010     58.269817      1.022713
      3.750011     59.234731      1.033952
      3.800013     60.203253      1.045226
      3.850016     61.157932      1.056472
      3.900018     62.111138      1.067448
      3.950020     63.066682      1.078180
      4.000022     64.021888      1.088999
      4.049994     64.976179      1.099774
      4.099996     65.926595      1.110570
      4.149998     66.886341      1.121141
      4.200001     67.839835      1.131387
      4.250003     68.792586      1.141829
      4.300005     69.751382      1.152570
      4.350007     70.711346      1.163213
      4.400009     71.660764      1.174257
      4.450012     72.617170      1.185112
      4.500014     73.564607      1.195919
      4.550016     74.530217      1.206195
      4.600018     75.482275      1.216481
      4.650020     76.439837      1.226532
