Shimadzu measurement
Filename
743Labor_aprilis_14_Ni.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:50
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050002     -0.004532      0.002918
      0.099974     -0.013493      0.003775
      0.149976     -0.037428      0.006743
      0.199978     -0.033944      0.010513
      0.249981      0.063797      0.015065
      0.299983      0.253694      0.020139
      0.349985      0.493572      0.025926
      0.399987      0.811393      0.032844
      0.449989      1.195700      0.040656
      0.499992      1.641065      0.049214
      0.549994      2.118189      0.058808
      0.599995      2.660516      0.069212
      0.649998      3.251152      0.080468
      0.700000      3.880993      0.092246
      0.750003      4.536962      0.104190
      0.799974      5.207901      0.116709
      0.849977      5.921612      0.129197
      0.899978      6.657337      0.141901
      0.949980      7.427523      0.154799
      0.999983      8.207972      0.167690
      1.049985      8.993996      0.180817
      1.099988      9.813113      0.194218
      1.149990     10.640652      0.207867
      1.199991     11.468447      0.221310
      1.249994     12.315392      0.234812
      1.299996     13.175910      0.247941
      1.349998     14.052918      0.260856
      1.400001     14.933779      0.273639
      1.449973     15.815056      0.286181
      1.499974     16.704642      0.298812
      1.549976     17.600486      0.311400
      1.599979     18.510507      0.324256
      1.649981     19.427184      0.337230
      1.699983     20.337643      0.349760
      1.749986     21.258987      0.362076
      1.799987     22.181582      0.374197
      1.849990     23.106523      0.385656
      1.899992     24.044562      0.396701
      1.949994     24.974859      0.407924
      1.999997     25.912835      0.419123
      2.049998     26.852840      0.430178
      2.100000     27.784906      0.441410
      2.150003     28.722643      0.452556
      2.199975     29.671589      0.463503
      2.249977     30.617195      0.474149
      2.299978     31.558573      0.484585
      2.349981     32.500419      0.495320
      2.399983     33.443908      0.506141
      2.449985     34.389484      0.517101
      2.499987     35.435819      0.528002
      2.549989     36.367144      0.538424
      2.599992     37.304214      0.548719
      2.649994     38.245846      0.558839
      2.699995     39.181207      0.568680
      2.749998     40.124351      0.578391
      2.800000     41.069008      0.587741
      2.850003     42.013195      0.597071
      2.899974     42.963062      0.606690
      2.949977     43.919262      0.616628
      2.999978     44.863462      0.626427
      3.049980     45.812120      0.635979
      3.099983     46.757466      0.645307
      3.149985     47.698612      0.654314
      3.199988     48.644521      0.663030
      3.249990     49.598990      0.671484
      3.299991     50.550787      0.679826
      3.349994     51.502621      0.687883
      3.399996     52.455709      0.696172
      3.449998     53.414807      0.704364
      3.500001     54.366498      0.712653
      3.549973     55.312133      0.720784
      3.599974     56.262693      0.729384
      3.649976     57.207920      0.738222
      3.699979     58.163606      0.747031
      3.749981     59.118940      0.755936
      3.799983     60.065412      0.764683
      3.849986     61.016726      0.773226
      3.899987     61.971176      0.781892
      3.949990     62.933943      0.790607
      3.999992     63.891987      0.799121
      4.049994     64.847001      0.807456
      4.099997     65.805393      0.815384
      4.149999     66.761330      0.823008
      4.200000     67.708345      0.830602
      4.250003     68.661979      0.838169
      4.299975     69.619128      0.845589
      4.349977     70.575167      0.853245
      4.399979     71.530209      0.860867
      4.449981     72.484963      0.868764
      4.499983     73.441899      0.876726
      4.549986     74.387371      0.884625
      4.599988     75.346940      0.892160
      4.649990     76.303938      0.899614
