Shimadzu measurement
Filename
748Labor_aprilis_14_Acel.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:17
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050002      0.003325     -0.008043
      0.100004     -0.008942     -0.009971
      0.150007     -0.016320     -0.013293
      0.200009     -0.003428     -0.013232
      0.250012      0.093625     -0.009209
      0.300013      0.267033     -0.001255
      0.349985      0.520759      0.008406
      0.399987      0.829679      0.018383
      0.449990      1.215131      0.028522
      0.499992      1.647488      0.038562
      0.549994      2.146475      0.048575
      0.599996      2.679182      0.058625
      0.649998      3.272146      0.068585
      0.700000      3.887602      0.079013
      0.750003      4.548935      0.089620
      0.800005      5.226534      0.100753
      0.850007      5.931590      0.112054
      0.900009      6.667459      0.123202
      0.950011      7.415803      0.134456
      0.999983      8.191242      0.145805
      1.049985      8.989237      0.157423
      1.099988      9.792883      0.169161
      1.149989     10.621757      0.181678
      1.199992     11.455025      0.194592
      1.249994     12.308117      0.208167
      1.299996     13.161961      0.222460
      1.349999     14.033571      0.237155
      1.400001     14.909574      0.252090
      1.450002     15.796856      0.267423
      1.500005     16.691236      0.283298
      1.550007     17.590784      0.299233
      1.600010     18.487049      0.315650
      1.650012     19.394396      0.332806
      1.699984     20.307446      0.350322
      1.749985     21.225628      0.368100
      1.799987     22.138052      0.385992
      1.849990     23.059334      0.404354
      1.899992     23.998352      0.422893
      1.949995     24.926477      0.441593
      1.999997     25.858837      0.460193
      2.049998     26.805385      0.478947
      2.100001     27.736625      0.497840
      2.150003     28.669347      0.516491
      2.200005     29.611337      0.535414
      2.250008     30.555565      0.554520
      2.300010     31.503639      0.573729
      2.350012     32.450901      0.592726
      2.399983     33.397432      0.611655
      2.449986     34.340254      0.630644
      2.499988     35.289503      0.649687
      2.549990     36.240874      0.668901
      2.599992     37.180118      0.688147
      2.649994     38.126757      0.707788
      2.699997     39.084325      0.727417
      2.749999     40.027924      0.746976
      2.800001     40.990080      0.766654
      2.850004     41.943302      0.786440
      2.900005     42.884821      0.805834
      2.950007     43.838391      0.825425
      3.000010     44.789379      0.845071
      3.050012     45.742926      0.865011
      3.099984     46.698166      0.884910
      3.149985     47.653098      0.904772
      3.199988     48.605311      0.924723
      3.249989     49.558130      0.944754
      3.299992     50.515156      0.964735
      3.349994     51.466813      0.984855
      3.399996     52.421572      1.004916
      3.449999     53.376071      1.024923
      3.500001     54.333999      1.045005
      3.550002     55.282806      1.064849
      3.600005     56.241714      1.084540
      3.650007     57.193844      1.104154
      3.700010     58.139263      1.123454
      3.750012     59.094512      1.142656
      3.799984     60.047621      1.161402
      3.849985     61.000025      1.180288
      3.899987     61.955457      1.198872
      3.949990     62.914224      1.217123
      3.999992     63.872941      1.235320
      4.049995     64.817575      1.253527
      4.099997     65.781883      1.271807
      4.149998     66.741314      1.290211
      4.200001     67.696967      1.308118
      4.250003     68.660816      1.325699
      4.300005     69.611288      1.342865
      4.350008     70.566813      1.359534
      4.400010     71.520781      1.375758
      4.450012     72.475179      1.391702
      4.499983     73.433626      1.407272
      4.549986     74.384730      1.422751
      4.599988     75.337161      1.438024
      4.649990     76.296890      1.453112
