Shimadzu measurement
Filename
754Labor_aprilis_14_125Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:52
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050002      0.005886     -0.002368
      0.100003     -0.015062     -0.003401
      0.150006     -0.011942     -0.003660
      0.200008     -0.010965     -0.001450
      0.249980      0.099779      0.002003
      0.299982      0.265367      0.005232
      0.349985      0.518769      0.009238
      0.399986      0.837163      0.015589
      0.449988      1.213442      0.023198
      0.499991      1.641815      0.034562
      0.549993      2.135996      0.050283
      0.599995      2.676585      0.068461
      0.649998      3.252838      0.089337
      0.699999      3.870954      0.110933
      0.750002      4.521255      0.135741
      0.800004      5.198690      0.162951
      0.850006      5.907870      0.191469
      0.900009      6.640739      0.220613
      0.949981      7.401640      0.249285
      0.999982      8.178616      0.277531
      1.049984      8.971889      0.305821
      1.099987      9.782273      0.335249
      1.149989     10.603782      0.364604
      1.199991     11.438357      0.394440
      1.249993     12.287742      0.425200
      1.299995     13.155340      0.455935
      1.349997     14.027122      0.486954
      1.400000     14.896566      0.517740
      1.450002     15.785879      0.548682
      1.500005     16.677204      0.578666
      1.550006     17.569119      0.608398
      1.600008     18.479877      0.638514
      1.649980     19.385010      0.667755
      1.699983     20.293625      0.697245
      1.749985     21.218802      0.726106
      1.799987     22.143016      0.754522
      1.849989     23.079179      0.783270
      1.899991     24.002905      0.811830
      1.949993     24.933136      0.840524
      1.999996     25.863119      0.868912
      2.049998     26.799593      0.896902
      2.100001     27.741908      0.924108
      2.150002     28.678494      0.950608
      2.200004     29.613586      0.976533
      2.250007     30.561371      1.002428
      2.300009     31.507763      1.028237
      2.349981     32.440694      1.054028
      2.399983     33.396300      1.079255
      2.449985     34.338745      1.104644
      2.499987     35.283382      1.129814
      2.549989     36.238537      1.154359
      2.599992     37.185458      1.178647
      2.649994     38.134125      1.202520
      2.699995     39.089855      1.225837
      2.749998     40.040955      1.249569
      2.800000     40.978734      1.272880
      2.850003     41.923445      1.295753
      2.900005     42.879887      1.318475
      2.950007     43.834071      1.340939
      3.000009     44.782559      1.363842
      3.049981     45.738128      1.386529
      3.099983     46.688474      1.408963
      3.149985     47.646937      1.430801
      3.199988     48.609042      1.451981
      3.249990     49.553062      1.473301
      3.299991     50.505832      1.494504
      3.349994     51.458541      1.515722
      3.399996     52.410585      1.536711
      3.449998     53.360199      1.557005
      3.500001     54.318003      1.577283
      3.550003     55.268529      1.597670
      3.600005     56.222270      1.618155
      3.650007     57.169140      1.639094
      3.699979     58.126305      1.659769
      3.749981     59.089073      1.679781
      3.799984     60.039184      1.699379
      3.849986     60.993772      1.718543
      3.899987     61.951170      1.738293
      3.949990     62.913537      1.758082
      3.999992     63.863898      1.777296
      4.049994     64.811387      1.795993
      4.099997     65.763006      1.814895
      4.149999     66.716510      1.834104
      4.200001     67.671711      1.854200
      4.250003     68.631491      1.874423
      4.300005     69.582575      1.894454
      4.350008     70.542922      1.914191
      4.399979     71.488412      1.933420
      4.449981     72.437622      1.952617
      4.499983     73.396282      1.972337
      4.549986     74.343916      1.991793
      4.599987     75.302379      2.011135
      4.649989     76.248616      2.030252
